WIFI DATA 
SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b1
ResultLevel: -73
Frequency: 2452
Timestamp: 27838889258


SSID: Zyxel_E3B1
BSSID: 50:e0:39:70:e3:b2
ResultLevel: -79
Frequency: 5500
Timestamp: 27838889266


SSID: WiFimodem-0117
BSSID: 30:93:bc:b0:01:1d
ResultLevel: -52
Frequency: 5260
Timestamp: 27838889260


SSID: 
BSSID: 52:e0:39:70:e3:b2
ResultLevel: -79
Frequency: 5500
Timestamp: 27838889267


SSID: 
BSSID: f2:87:56:99:1a:11
ResultLevel: -55
Frequency: 5260
Timestamp: 27838889263


SSID: WiFimodem-06CE
BSSID: 6c:ba:b8:ee:06:d3
ResultLevel: -93
Frequency: 2462
Timestamp: 27838889265


SSID: DIRECT-reC48x Series
BSSID: 86:25:19:77:df:e2
ResultLevel: -90
